	L2_DMSO_M2_notx	L3_DMSO_M3_notx	L14_DMSO_M1_GW3965	L15_DMSO_M2_GW3965	L16_DMSO_M3_GW3965	L1_DMSO_M1_notx
NM_001001130	36	34	75	38	32	48
NM_001001144	690	575	721	487	485	640
NM_001001152	19	25	13	16	22	10
NM_001001160	0	0	0	0	0	0
NM_001001176	253	216	230	246	179	195
NM_001001177	0	0	0	0	1	2
NM_001001178	38	43	157	138	104	33
NM_001001179	0	0	0	0	0	0
NM_001001180	15	17	18	16	13	14 
NM_001001181	543	434	541	381	406	380
NM_001001182	897	773	1000	774	822	708
NM_001001183	6	6	1	0	2	1
NM_001001184	334	263	328	283	224	231
NM_001001185	0	0	0	0	0	0
NM_001001186	112	93	80	76	80	94
NM_001001187	192	151	172	153	161	174
NM_001001295	396	315	409	345	320	327
NM_001001297	45	34	33	25	41	36
NM_001001309	23	30	14	15	18	19
NM_001001319	0	0	0	0	0	0
NM_001001320	0	0	0	0	0	0
NM_001001321	184	171	170	150	150	120
NM_001001322	0	3	2	7	4	5
NM_001001326	25	32	17	4	21	20
NM_001001327	603	476	581	487	493	380
NM_001001332	0	1	0	0	0	0
NM_001001333	97	70	90	76	86	85
NM_001001334	0	1	0	0	0	0
NM_001001335	372	289	363	303	296	276
NM_001001444	0	0	0	0	0	0
NM_001001445	0	0	0	0	0	0
NM_001001446	0	0	0	0	0	0
NM_001001447	146	104	131	101	116	98
NM_001001449	0	0	0	0	0	0
NM_001001450	0	0	0	0	0	0
NM_001001451	0	0	0	0	0	0
NM_001001452	0	0	0	0	0	0
NM_001001453	0	0	0	0	0	0
NM_001001454	9	2	3	2	5	1
NM_001001488	1	6	3	2	7	6
NM_001001489	0	0	0	0	0	0
NM_001001490	0	0	0	0	0	0
NM_001001491	3268	2754	2799	2495	2643	2372
NM_001001492	2	1	0	2	1	0
NM_001001493	251	189	209	174	212	175
NM_001001495	330	304	260	210	255	257
NM_001001496	0	0	0	0	0	0
NM_001001559	0	0	0	0	0	0
NM_001001565	2	2	5	3	0	0
NM_001001566	2	2	5	3	0	0
NM_001001602	39	40	23	28	37	28
NM_001001650	0	0	0	0	0	0
NM_001001714	1	0	0	0	0	0
NM_001001735	847	703	872	631	676	685
NM_001001737	75	64	71	48	79	71
NM_001001738	137	128	119	102	85	120
NM_001001792	20	9	9	12	14	3
NM_001001796	0	0	0	0	0	0
NM_001001798	773	638	912	702	725	624
NM_001001803	0	0	0	0	0	0
NM_001001804	0	0	0	0	1	0
NM_001001805	0	0	0	0	0	0
NM_001001806	3862	3221	3660	2864	2746	3426
NM_001001807	0	0	0	0	0	0
NM_001001808	0	0	0	0	0	0
NM_001001809	0	0	0	0	0	0
NM_001001810	0	0	0	0	0	0
NM_001001880	231	204	198	179	202	154
NM_001001881	489	447	515	372	357	454
NM_001001882	229	175	169	194	182	167
NM_001001883	2	3	0	2	4	3
NM_001001884	707	567	727	568	472	531
NM_001001885	1	0	2	2	1	1
NM_001001892	15942	14242	16275	11610	12494	13090
NM_001001932	3254	2562	3317	2545	2948	2466
NM_001001979	1	0	1	0	2	0
NM_001001980	0	0	0	0	0	0
NM_001001981	229	198	328	303	389	159
NM_001001982	2	6	9	3	9	7
NM_001001983	2191	1914	2281	1952	1969	1677
NM_001001984	2209	1938	2356	1795	1824	1938
NM_001001985	126	131	76	89	62	113
NM_001001986	441	507	528	381	398	388
NM_001001999	1	0	2	2	4	0
NM_001002004	8802	7560	8350	6453	6679	7162
NM_001002005	0	1	2	0	0	0
NM_001002008	107	96	134	121	103	73
NM_001002011	2877	2375	2310	1869	2010	2292
NM_001002012	94	84	84	67	59	56
NM_001002238	0	0	0	0	0	0
NM_001002239	27	20	29	34	34	13
NM_001002240	0	0	0	0	0	0
NM_001002241	0	0	0	0	0	0
NM_001002267	41	52	73	52	82	41
NM_001002268	219	183	232	166	230	167
NM_001002272	0	0	0	1	0	0
NM_001002764	509	447	507	396	373	379
NM_001002786	3	3	3	4	1	6
NM_001002787	0	0	0	0	0	0
NM_001002791	0	0	0	0	0	0
NM_001002842	75	50	56	57	64	44
NM_001002846	83	87	91	77	63	65
NM_001002894	0	0	0	0	0	0
NM_001002895	436	385	364	314	291	377
NM_001002896	0	0	0	0	0	1
NM_001002897	119	123	262	211	198	116
NM_001002898	23	6	17	10	14	23
NM_001002900	0	0	0	0	0	0
NM_001002927	20	12	6	2	3	5
NM_001002929	347	209	297	252	246	202
NM_001003393	0	0	0	0	0	0
NM_001003405	0	0	0	0	0	0
NM_001003664	0	0	0	0	0	0
NM_001003666	0	1	0	1	0	0
NM_001003667	0	0	0	0	0	0
NM_001003668	0	0	0	0	0	0
NM_001003670	0	0	0	0	0	0
NM_001003671	23	18	9	19	18	11
NM_001003672	47	29	12	33	29	16
NM_001003685	0	0	0	0	0	0
NM_001003717	26156	22975	28945	22569	23740	20741
NM_001003719	673	598	738	595	653	609
NM_001003817	0	0	1	3	0	0
NM_001003824	0	1	1	0	0	0
NM_001003825	0	1	1	0	0	0
NM_001003893	70	75	78	83	77	93
NM_001003898	986	811	1057	885	842	820
NM_001003899	979	811	1054	879	839	818
NM_001003908	20203	16494	19301	15720	16520	15984
NM_001003909	1007	914	1101	804	857	793
NM_001003910	8	18	17	11	13	8
NM_001003911	0	0	0	1	0	0
NM_001003912	997	762	872	722	683	754
NM_001003913	569	453	624	502	529	486
NM_001003915	0	0	0	0	0	0
NM_001003916	83	81	77	57	59	61
NM_001003917	797	704	829	600	590	732
NM_001003918	1962	1555	2050	1551	1540	1608
NM_001003919	154	126	150	118	114	127
NM_001003920	11	8	10	8	10	9
NM_001003933	5410	4590	5413	4209	4207	4275
NM_001003934	5410	4590	5413	4209	4207	4275
NM_001003939	6	8	10	7	8	6
NM_001003947	0	0	0	0	0	0
NM_001003948	2891	2576	2632	2215	2156	2354
NM_001003949	1147	887	1067	721	775	976
NM_001003950	69	47	52	44	56	42
NM_001003951	0	0	0	0	0	0
NM_001003952	0	0	0	0	0	0
NM_001003953	492	409	474	400	369	413
NM_001003955	2950	2493	2464	1664	1630	2402
NM_001003960	33	30	23	27	27	19
NM_001003961	33	30	24	27	27	19
NM_001003963	33	30	24	27	27	19
NM_001003972	56	50	50	38	50	55
NM_001003973	51	49	46	38	45	51
NM_001004025	0	0	0	0	0	0
NM_001004061	0	0	0	0	0	0
NM_001004062	212	159	180	146	158	170
NM_001004066	367	323	356	288	304	292
NM_001004139	75	53	59	59	47	59
NM_001004140	339	235	258	245	210	280
NM_001004141	0	0	0	0	0	0
NM_001004142	256	42	54	155	36	38
NM_001004143	909	766	796	641	699	633
NM_001004144	901	801	1018	734	685	807
NM_001004145	0	0	0	0	0	0
NM_001004147	0	0	0	0	0	0
NM_001004148	0	0	0	0	0	0
NM_001004149	1	2	0	0	2	1
NM_001004150	1	5	0	0	2	3
NM_001004151	0	0	0	0	0	1
NM_001004152	0	0	0	0	0	0
NM_001004153	0	0	0	0	0	0
NM_001004154	30	28	24	32	33	15
NM_001004155	61	40	36	36	43	41
NM_001004157	231	177	128	120	154	159
NM_001004158	0	0	0	0	0	0
NM_001004159	1	1	0	0	0	0
NM_001004164	2856	2423	3057	2404	2569	2300
NM_001004173	7	7	10	4	9	4
NM_001004174	43	43	41	31	45	25
NM_001004176	47	49	48	52	53	52
NM_001004177	4	3	1	0	0	1
NM_001004178	11	17	9	22	12	17
NM_001004180	10	11	5	6	12	13
NM_001004182	0	0	0	0	0	0
NM_001004184	0	0	0	0	0	0
NM_001004185	194	134	168	142	126	140
NM_001004187	51	66	57	49	40	47
NM_001004190	76	69	82	59	67	66
NM_001004191	74	77	62	44	55	60
NM_001004192	0	0	0	0	0	0
NM_001004193	0	0	0	0	0	0
NM_001004194	0	0	0	0	0	0
NM_001004293	43	50	76	47	68	58
NM_001004357	0	0	0	0	0	0
NM_001004359	200	185	195	177	173	206
NM_001004361	257	175	265	207	171	195
NM_001004362	192	185	219	156	186	169
NM_001004363	87	94	84	66	74	81
NM_001004364	83	64	82	60	68	66
NM_001004365	9	8	9	4	9	1
NM_001004366	0	0	0	0	0	0
NM_001004367	0	0	0	0	0	0
NM_001004435	394	314	337	252	261	293
NM_001004436	2261	1928	2546	1978	1949	1932
NM_001004455	1	0	0	0	0	0
NM_001004468	105	85	86	101	83	66
NM_001004721	404	313	394	308	348	293
NM_001004761	0	0	0	0	0	0
NM_001004762	2	0	3	2	2	1
NM_001005223	58	65	60	49	47	54
NM_001005225	0	0	0	0	0	0
NM_001005227	0	0	0	0	0	0
NM_001005230	0	0	0	0	0	0
NM_001005232	0	0	0	0	0	0
NM_001005247	673	609	707	520	552	474
NM_001005248	672	609	707	520	552	474
NM_001005341	624	539	705	550	504	587
NM_001005342	1	1	0	2	5	6
NM_001005343	0	0	0	0	0	0
NM_001005358	2	1	1	5	2	3
NM_001005370	0	0	0	0	0	0
NM_001005371	0	0	0	0	0	0
NM_001005385	201	184	202	178	178	207
NM_001005419	698	663	869	639	677	575
NM_001005420	11	5	9	4	9	4
NM_001005421	3	9	1	4	4	4
NM_001005422	0	0	0	0	0	0
NM_001005423	2	4	1	5	4	2
NM_001005424	11	2	10	9	7	8
NM_001005425	0	0	0	0	0	0
NM_001005426	73	44	54	47	52	39
NM_001005475	943	761	821	603	607	812
NM_001005477	0	0	0	0	0	0
NM_001005481	0	0	0	0	0	0
NM_001005485	16	18	18	18	21	13
NM_001005488	0	0	0	0	0	0
NM_001005506	1363	1131	1395	1081	1018	1143
NM_001005507	881	702	857	677	746	688
NM_001005508	4733	3914	4833	3612	3666	3951
NM_001005509	1503	1233	1454	1262	1133	1091
NM_001005510	66	64	57	50	63	63
NM_001005511	2	0	1	3	2	3
NM_001005520	0	0	0	0	0	0
NM_001005524	0	0	0	0	0	0
NM_001005525	661	529	792	618	623	580
NM_001005568	0	0	0	0	0	0
NM_001005569	0	0	0	0	0	0
NM_001005570	0	0	0	0	0	0
NM_001005605	889	790	936	743	778	745
NM_001005608	2	5	2	6	5	6
NM_001005740	21	11	6	9	10	10
NM_001005748	11	9	5	4	6	7
NM_001005767	352	267	359	255	261	282
NM_001005784	8	7	7	2	6	7
NM_001005787	2	4	2	1	1	3
NM_001005788	9	7	9	1	5	3
NM_001005846	1547	1432	1533	1218	1245	1298
NM_001005847	397	348	472	358	351	348
NM_001005854	0	0	0	0	0	0
NM_001005858	181	55	53	32	48	81
NM_001005859	865	620	728	602	643	668
NM_001005860	4	6	2	6	4	6
NM_001005863	179	157	113	76	74	124
NM_001005864	137	116	80	51	48	95
NM_001005865	136	118	80	50	48	100
NM_001005867	1970	1734	1764	1332	1314	1783
NM_001005868	4233	3623	4121	3353	3208	3406
NM_001005916	266	270	292	219	234	224
NM_001006664	2507	2146	2272	1681	1738	2099
NM_001006668	0	1	1	0	0	0
NM_001006669	0	1	1	0	0	0
NM_001006674	0	0	1	0	0	0
NM_001007077	0	0	0	0	0	0
NM_001007154	0	0	0	0	1	0
NM_001007220	23	19	3	14	11	5
NM_001007221	23	19	4	14	12	5
NM_001007222	0	0	0	0	0	0
NM_001007223	0	0	0	0	0	0
NM_001007266	0	0	0	0	0	0
NM_001007268	17	18	16	12	10	18
NM_001007460	2	2	7	3	0	2
NM_001007461	0	0	0	0	0	0
NM_001007462	0	0	0	0	0	0
NM_001007463	0	1	1	0	0	0
NM_001007465	258	239	275	231	202	214
NM_001007472	0	0	0	0	1	0
NM_001007567	230	185	243	206	164	161
NM_001007568	245	192	255	179	174	176
NM_001007569	0	0	0	0	0	0
NM_001007570	32	32	18	20	25	25
NM_001007571	695	616	735	579	538	516
NM_001007572	0	0	0	0	0	0
NM_001007573	7	3	4	4	0	2
NM_001007574	58	49	56	51	43	44
NM_001007575	107	75	117	102	91	86
NM_001007576	0	0	0	0	1	0
NM_001007577	62	49	56	58	62	34
NM_001007578	33	24	31	13	19	20
NM_001007579	0	0	0	0	0	0
NM_001007580	2	0	4	2	2	0
NM_001007581	111	96	103	96	68	85
NM_001007582	0	0	0	0	0	0
NM_001007583	0	0	0	0	0	0
NM_001007584	2	3	1	1	0	1
NM_001007589	720	576	697	514	551	565
NM_001007596	14	15	20	4	13	17
NM_001008230	0	0	0	0	0	0
NM_001008231	32	23	15	16	20	19
NM_001008232	3	5	1	2	3	2
NM_001008233	291	241	216	170	197	231
NM_001008238	2359	1878	2452	1946	1913	1896
NM_001008419	0	0	1	0	1	1
NM_001008420	0	0	0	0	0	0
NM_001008421	130	125	146	128	148	117
NM_001008422	1362	1152	1326	973	1006	1207
NM_001008423	0	0	0	0	0	0
NM_001008424	0	0	0	0	0	0
NM_001008425	221	161	184	136	153	145
NM_001008426	0	0	0	0	0	0
NM_001008427	46	40	41	39	40	38
NM_001008428	0	0	0	0	0	0
NM_001008429	0	0	0	0	0	0
NM_001008497	669	488	485	371	428	426
NM_001008498	89	74	89	67	51	62
NM_001008499	0	0	0	0	0	0
NM_001008501	106	91	78	74	61	82
NM_001008502	27	26	30	22	18	15
NM_001008506	773	693	927	700	728	681
NM_001008533	0	0	0	0	0	0
